frame,time,state,x,y,z,screen_x,screen_y,hand_x,hand_y
0,0.0167,InFlight,-2.9998,1.4320,-7.8500,0.5005,0.4999,0.5603,0.2390
1,0.0333,InFlight,-2.9996,1.4239,-7.6997,0.5005,0.4877,0.5618,0.2709
2,0.0500,InFlight,-2.9994,1.4079,-7.5493,0.5005,0.4755,0.5707,0.3056
3,0.0667,InFlight,-2.9991,1.3838,-7.3990,0.5005,0.4633,0.5685,0.3151
4,0.0833,InFlight,-2.9989,1.3518,-7.2486,0.5005,0.4511,0.5578,0.3115
5,0.1000,InFlight,-2.9987,1.3117,-7.0983,0.5005,0.4389,0.5426,0.3039
6,0.1167,InFlight,-2.9987,1.3117,-7.0983,0.5005,0.4389,0.5235,0.2912
7,0.1333,InFlight,-2.9985,1.2637,-6.9479,0.5005,0.4267,0.5013,0.2729
8,0.1500,InFlight,-2.9983,1.2076,-6.7976,0.5005,0.4145,0.4781,0.2507
9,0.1667,InFlight,-2.9981,1.1436,-6.6473,0.5005,0.4023,0.4577,0.2301
10,0.1833,InFlight,-2.9979,1.0716,-6.4969,0.5005,0.3901,0.4451,0.2183
11,0.2000,InFlight,-2.9976,0.9915,-6.3466,0.5005,0.3779,0.4389,0.2132
12,0.2167,InFlight,-2.9976,0.9915,-6.3466,0.5005,0.3779,0.4368,0.2116
13,0.2333,InFlight,-2.9974,0.9035,-6.1962,0.5005,0.3657,0.4382,0.2127
14,0.2500,InFlight,-2.9972,0.8074,-6.0459,0.5005,0.3536,0.4425,0.2156
15,0.2667,InFlight,-2.9970,0.7034,-5.8955,0.5005,0.3414,0.4492,0.2196
16,0.2833,InFlight,-2.9968,0.5913,-5.7452,0.5005,0.3292,0.4575,0.2238
17,0.3000,InFlight,-2.9966,0.4713,-5.5949,0.5005,0.3170,0.4669,0.2275
18,0.3167,InFlight,-2.9966,0.4713,-5.5949,0.5005,0.3170,0.4769,0.2304
19,0.3333,InFlight,-2.9963,0.3432,-5.4445,0.5005,0.3048,0.4873,0.2321
20,0.3500,InFlight,-2.9961,0.2072,-5.2942,0.5005,0.2926,0.4978,0.2326
21,0.3667,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5080,0.2319
22,0.3833,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5180,0.2301
23,0.4000,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5276,0.2273
24,0.4167,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5366,0.2239
25,0.4333,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5450,0.2200
26,0.4500,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5525,0.2158
27,0.4667,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5592,0.2118
28,0.4833,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5648,0.2081
29,0.5000,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5691,0.2051
30,0.5167,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5721,0.2029
31,0.5333,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5735,0.2018
32,0.5500,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5736,0.2017
33,0.5667,Loose,-2.9959,0.1680,-5.1438,0.5005,0.2972,0.5735,0.2017
