frame,time,state,x,y,z,screen_x,screen_y
0,0.0167,InFlight,-2.9998,1.4320,-7.8500,0.5006,0.4999
1,0.0333,InFlight,-2.9995,1.4239,-7.6997,0.5006,0.4877
2,0.0500,InFlight,-2.9993,1.4079,-7.5493,0.5006,0.4755
3,0.0667,InFlight,-2.9990,1.3839,-7.3990,0.5006,0.4633
4,0.0833,InFlight,-2.9988,1.3518,-7.2486,0.5006,0.4511
5,0.1000,InFlight,-2.9988,1.3518,-7.2486,0.5006,0.4511
6,0.1167,InFlight,-2.9985,1.3118,-7.0983,0.5006,0.4389
7,0.1333,InFlight,-2.9983,1.2637,-6.9479,0.5006,0.4267
8,0.1500,InFlight,-2.9981,1.2077,-6.7976,0.5006,0.4145
9,0.1667,InFlight,-2.9978,1.1437,-6.6473,0.5006,0.4023
10,0.1833,InFlight,-2.9976,1.0716,-6.4969,0.5006,0.3902
11,0.2000,InFlight,-2.9976,1.0716,-6.4969,0.5006,0.3902
12,0.2167,InFlight,-2.9973,0.9916,-6.3466,0.5006,0.3780
13,0.2333,InFlight,-2.9971,0.9036,-6.1962,0.5006,0.3658
14,0.2500,InFlight,-2.9968,0.8075,-6.0459,0.5006,0.3536
15,0.2667,InFlight,-2.9966,0.7035,-5.8955,0.5006,0.3414
16,0.2833,InFlight,-2.9963,0.5915,-5.7452,0.5006,0.3292
17,0.3000,InFlight,-2.9963,0.5915,-5.7452,0.5006,0.3292
18,0.3167,InFlight,-2.9961,0.4714,-5.5949,0.5006,0.3170
19,0.3333,InFlight,-2.9959,0.3434,-5.4445,0.5006,0.3048
20,0.3500,InFlight,-2.9956,0.2073,-5.2942,0.5006,0.2926
21,0.3667,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
22,0.3833,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
23,0.4000,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
24,0.4167,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
25,0.4333,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
26,0.4500,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
27,0.4667,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
28,0.4833,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
29,0.5000,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
30,0.5167,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
31,0.5333,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
32,0.5500,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
33,0.5667,Loose,-2.9954,0.1680,-5.1438,0.5006,0.2972
