wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split
63925005079.5237,0.01999664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.5874,0.07998657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.6372,0.1399765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.7044,0.1999664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.7711,0.2599564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.8362,0.3399429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.8877,0.3799362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.9536,0.4399261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.0036,0.4999161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.0706,0.559906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.1372,0.6398926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.1948,0.6798859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.2453,0.7398758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.3124,0.7998657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.3775,0.8798523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.4456,0.9398422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.512,0.9998322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.5613,1.059822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.6286,1.119812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.6945,1.179802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.7449,1.239792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.8118,1.299782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.8614,1.359772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.9274,1.419762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.9789,1.479752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.044,1.539742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.1119,1.599731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.1621,1.659721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.2275,1.719711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.295,1.799698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.362,1.859688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.4281,1.919678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.4782,1.979668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.5452,2.039658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6113,2.099648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6618,2.159637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.7282,2.219627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.7779,2.279617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.8451,2.339607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
