wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split
63925005079.8673,0.01999664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.9317,0.4399261,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005079.998,0.4999161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.0482,0.559906,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.099,0.5998993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.1658,0.6798859,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.2166,0.7198792,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.2694,0.7798691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.3318,0.839859,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.4,0.8798523,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.4503,0.9398422,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.5156,0.9998322,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.5824,1.079819,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.6504,1.159805,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.7172,1.219795,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.7831,1.279785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.8493,1.359772,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.9169,1.419762,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.9829,1.479752,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.0329,1.539742,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.0993,1.599731,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.1493,1.659721,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.2166,1.719711,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.2823,1.779701,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.3329,1.839691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.4001,1.899681,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.4664,1.979668,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.516,2.019661,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.582,2.079651,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6334,2.139641,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6991,2.199631,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.7661,2.279617,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.8154,2.319611,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.8667,2.379601,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.9328,2.43959,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.9999,2.49958,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.0499,2.55957,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.0986,2.61956,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.166,2.699547,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.2164,2.73954,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.2838,2.819527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.3344,2.839523,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.4003,2.899513,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.4501,2.959503,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.5167,3.019493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.5675,3.079483,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.6343,3.139473,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.7002,3.199463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
