wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split
63925005080.0263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.0746,0.4399261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.1418,0.4999161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.207,0.559906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.2659,0.6198959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.3288,0.6998825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.3949,0.7598724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.4625,0.8198624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.528,0.8798523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.5951,0.9398422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.6621,0.9998322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.7118,1.059822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.7779,1.119812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.8452,1.179802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.8957,1.239792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005080.9614,1.299782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.0287,1.379768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.0955,1.439758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.1452,1.479752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.1959,1.539742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.2623,1.599731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.3282,1.679718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.3975,1.739708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.4618,1.799698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.5118,1.859688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.5781,1.919678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6282,1.979668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.6956,2.039658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.761,2.099648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.8117,2.159637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.8629,2.199631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.9282,2.279617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005081.9953,2.339607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.0621,2.399597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.1115,2.459587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.1787,2.519577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.2276,2.579567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.2787,2.639557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.3449,2.699547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.3955,2.759537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.4611,2.819527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.5136,2.879517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.5802,2.939507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.6303,2.999496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.6803,3.03949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.7471,3.119476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.8136,3.179466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.8807,3.239456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.9473,3.319443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005082.9974,3.359436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.0633,3.419426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.1142,3.479416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.1807,3.519409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.2317,3.579399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.2979,3.639389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.3631,3.699379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.4144,3.759369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.4802,3.819359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.5309,3.879349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.5972,3.939339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.664,3.999329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.7144,4.059319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.7805,4.119308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.8308,4.179298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.8979,4.239288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005083.9481,4.299278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.0146,4.359268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.0811,4.419258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.1312,4.479248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.1802,4.519241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.247,4.619225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.2984,4.659218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.3478,4.719208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.4144,4.779198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.4644,4.819191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.5155,4.879181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.5814,4.939171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.6316,4.999161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.698,5.059151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.7638,5.119141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.8147,5.179131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.8819,5.23912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.9304,5.279114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005084.9824,5.319107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.0477,5.399094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.1147,5.459084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.1814,5.519073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.2313,5.579063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.2984,5.639053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.3484,5.699043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.3985,5.739037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.4647,5.799026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.5154,5.859016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.581,5.919006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.649,5.998993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.7148,6.058983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.7818,6.138969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.8481,6.218956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.9158,6.278946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005085.9819,6.338936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.0487,6.398926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.1157,6.458916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.1826,6.518906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.2484,6.618889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.3156,6.678879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.382,6.738869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.4326,6.798859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.4987,6.858849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.5654,6.918839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.6157,6.978828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.6814,7.018822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.7486,7.098808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.7997,7.138802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.8657,7.198792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.9156,7.278778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005086.9656,7.318771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.0315,7.398758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.0825,7.438751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.1319,7.478745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.1991,7.538734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.2648,7.598724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.3154,7.658714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.3819,7.718704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.4494,7.798691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.5151,7.858681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.5822,7.918671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.649,7.998657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.6998,8.038651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.7663,8.118637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.8329,8.178627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.8997,8.238617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.949,8.298607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005087.9992,8.358597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.0664,8.438583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.1332,8.498573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.2,8.558563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.2664,8.63855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.3336,8.69854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.4004,8.75853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.4668,8.838516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.516,8.87851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.5823,8.938499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.633,8.998489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.7002,9.058479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.767,9.138466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.8166,9.178459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.8668,9.218452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.9169,9.258446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005088.9826,9.318436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.034,9.378426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.1001,9.438416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.1504,9.498405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.2004,9.538399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.2664,9.618385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.3335,9.678375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.4007,9.738365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.467,9.818352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.517,9.858345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.5836,9.918335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.6334,9.978325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.6992,10.03831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.7502,10.0983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.8174,10.15829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.883,10.21828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005089.9329,10.27827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.0003,10.33826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.067,10.41825,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.1169,10.45824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.1833,10.51823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.2338,10.57822,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.3003,10.63821,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.367,10.7182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63925005090.4303,10.75819,1,1,0,7,1,-6,0.1,-6,0,0,1,5,4.295226,1.495,1,0.3925,1.35,0
63925005090.4303,10.75819,1,1,0,7,2,0,0.1,-6,0,0,1,6,5.295226,0,-1,1.4,0.6,1
63925005090.4303,10.75819,1,1,0,7,3,6,0.1,-6,1,0,0,3,2.295226,0.8,1,0,0,0
63925005090.4303,10.75819,1,1,0,7,4,-6,0.1,0,0,0,-1,3,2.295226,0.55,2,1.45,0,0
63925005090.4303,10.75819,1,1,0,7,5,0,0.1,0,0,0,0,5,4.295226,2.1,1,0,0,0
63925005090.4303,10.75819,1,1,0,7,6,6,0.1,0,0,0,0,6,5.295226,1.44,3,1.4,0,0
63925005090.4303,10.75819,1,1,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,4.295226,0,-1,-1,0,0
63925005090.4836,10.83818,1,1,0,7,1,-6,0.1,-6,0,0,1,5,4.211267,1.495,1,0.3925,1.35,0
63925005090.4836,10.83818,1,1,0,7,2,0,0.1,-6,0,0,1,6,5.211267,0,-1,1.4,0.6,1
63925005090.4836,10.83818,1,1,0,7,3,6,0.1,-6,1,0,0,3,2.211267,0.8,1,0,0,0
63925005090.4836,10.83818,1,1,0,7,4,-6,0.1,0,0,0,-1,3,2.211267,0.55,2,1.45,0,0
63925005090.4836,10.83818,1,1,0,7,5,0,0.1,0,0,0,0,5,4.211267,2.1,1,0,0,0
63925005090.4836,10.83818,1,1,0,7,6,6,0.1,0,0,0,0,6,5.211267,1.44,3,1.4,0,0
63925005090.4836,10.83818,1,1,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,4.211267,0,-1,-1,0,0
63925005090.5335,10.89817,1,1,0,7,1,-6,0.1,-6,0,0,1,5,4.161267,1.495,1,0.3925,1.35,0
